"name","year","undergraduate_enrollment","tuition_and_fees_2018_19","institution_size_category","level_of_institution","degree_of_urbanization_urban_centric_locale","mean_enrollment","mean_african_american","mean_asian","mean_hispanic","mean_white","mean_women","mean_admitted","quantiles_women","quantiles_admission"
"York College",2018,400,19310,"Under 1,000","Four or more years","Town",440.111111111111,13.1111111111111,1.44444444444444,13,64.7777777777778,45,54,"25 to 49%","50 to 74%"
"Southern New Hampshire University",2018,82693,31136,"20,000 and above","Four or more years","Suburb",35873.1111111111,7.66666666666667,0.888888888888889,4.55555555555556,39.4444444444444,61,83.25,"50 to 74%","50 to 74%"
"Centenary University",2018,1266,32998,"1,000 - 4,999","Four or more years","Suburb",1646.66666666667,11,1.66666666666667,9.33333333333333,58.7777777777778,62,85.3333333333333,"50 to 74%","50 to 74%"
"New Mexico State University-Main Campus",2018,11687,6686,"10,000 - 19,999","Four or more years","Suburb",13102,2.88888888888889,1.11111111111111,53.6666666666667,30.4444444444444,54,74,"50 to 74%","50 to 74%"
"Adelphi University",2018,5391,38740,"5,000 - 9,999","Four or more years","Suburb",5098.66666666667,10,8.44444444444444,13.7777777777778,53.1111111111111,69,70.4444444444444,"50 to 74%","50 to 74%"
"Albany College of Pharmacy and Health Sciences",2018,859,35105,"1,000 - 4,999","Four or more years","City",1010.22222222222,3.88888888888889,15.2222222222222,4.33333333333333,63.8888888888889,60,68.5555555555556,"50 to 74%","50 to 74%"
"Associated Beth Rivkah Schools",2018,195,7800,"Under 1,000","Four or more years","City",143.111111111111,0,0,0.111111111111111,92.3333333333333,100,92.6666666666667,"75 to 100%","75 to 100%"
"Barnard College",2018,2562,55032,"1,000 - 4,999","Four or more years","City",2506.44444444444,5.66666666666667,15.2222222222222,11,56.4444444444444,100,20.7777777777778,"75 to 100%","0 to 24%"
"Cazenovia College",2018,870,34630,"Under 1,000","Four or more years","Town",1018.88888888889,8.33333333333333,1.33333333333333,4.88888888888889,67.7777777777778,73,78.8888888888889,"50 to 74%","75 to 100%"
"Concordia College-New York",2018,1226,32900,"1,000 - 4,999","Four or more years","Suburb",942.444444444444,17.5555555555556,3.11111111111111,20.8888888888889,38.6666666666667,68,72.6666666666667,"50 to 74%","75 to 100%"
"CUNY Lehman College",2018,12639,7210,"10,000 - 19,999","Four or more years","City",10692.2222222222,28.1111111111111,5.88888888888889,54.1111111111111,7.66666666666667,68,28.2222222222222,"50 to 74%","25 to 49%"
"Daemen College",2018,1739,28580,"1,000 - 4,999","Four or more years","Suburb",2023.88888888889,12.6666666666667,2.22222222222222,5.66666666666667,73,72,53.5555555555556,"50 to 74%","50 to 74%"
"Hamilton College",2018,2005,54620,"1,000 - 4,999","Four or more years","Suburb",1900.55555555556,4.11111111111111,7.22222222222222,7.44444444444444,63.7777777777778,52,25.7777777777778,"50 to 74%","0 to 24%"
"Hilbert College",2018,732,22350,"Under 1,000","Four or more years","Suburb",925.888888888889,8,0.222222222222222,3.11111111111111,70.4444444444444,56,79.7777777777778,"50 to 74%","75 to 100%"
"Ithaca College",2018,6101,43978,"5,000 - 9,999","Four or more years","Suburb",6229,4.88888888888889,3.55555555555556,7.22222222222222,71.1111111111111,57,67.2222222222222,"50 to 74%","50 to 74%"
"Molloy College",2018,3439,31490,"1,000 - 4,999","Four or more years","Suburb",3423.44444444444,12.3333333333333,7.22222222222222,14.3333333333333,61.3333333333333,75,72.6666666666667,"75 to 100%","75 to 100%"
"St Bonaventure University",2018,1814,34331,"1,000 - 4,999","Four or more years","Town",1802.66666666667,5.11111111111111,3.44444444444444,6,68.7777777777778,50,73.6666666666667,"50 to 74%","50 to 74%"
"St. Joseph's College-Long Island",2018,3148,27840,"1,000 - 4,999","Four or more years","Suburb",3103.5,5,2,13.5,65.5,67,74,"50 to 74%","75 to 100%"
"St John's University-New York",2018,16877,41760,"20,000 and above","Four or more years","City",16126,14.2222222222222,14.7777777777778,13.5555555555556,42.6666666666667,56,58.1111111111111,"50 to 74%","50 to 74%"
"Binghamton University",2018,14021,9808,"10,000 - 19,999","Four or more years","Suburb",13032.6666666667,5,13.5555555555556,9.88888888888889,54,48,40.4444444444444,"25 to 49%","25 to 49%"
"SUNY Polytechnic Institute",2018,2256,8238,"1,000 - 4,999","Four or more years","Suburb",2004.77777777778,6.44444444444444,4,6.44444444444444,78.4444444444444,40,51.7777777777778,"25 to 49%","50 to 74%"
"SUNY Buffalo State",2018,8082,8210,"5,000 - 9,999","Four or more years","City",9199.11111111111,23.4444444444444,2.44444444444444,10,53.2222222222222,57,54.2222222222222,"50 to 74%","50 to 74%"
"SUNY Maritime College",2018,1586,8283,"1,000 - 4,999","Four or more years","City",1638,4.22222222222222,4.11111111111111,10,70,11,62.7777777777778,"0 to 24%","50 to 74%"
"Syracuse University",2018,15226,51853,"20,000 and above","Four or more years","City",14987,8,7.88888888888889,9.66666666666667,55.8888888888889,55,51,"50 to 74%","50 to 74%"
"Vassar College",2018,2456,56960,"1,000 - 4,999","Four or more years","Suburb",2422.66666666667,5,10.5555555555556,10.6666666666667,60.2222222222222,57,24.4444444444444,"50 to 74%","25 to 49%"
"Belmont Abbey College",2018,1556,18500,"1,000 - 4,999","Four or more years","Suburb",1609.66666666667,22.7777777777778,1.22222222222222,2.11111111111111,43.7777777777778,56,75.5555555555556,"50 to 74%","75 to 100%"
"East Carolina University",2018,23071,7188,"20,000 and above","Four or more years","City",22294.8888888889,15.8888888888889,2.55555555555556,5.11111111111111,69.3333333333333,58,70.7777777777778,"50 to 74%","75 to 100%"
"Greensboro College",2018,900,29140,"1,000 - 4,999","Four or more years","City",995.555555555556,29,1,3,53.3333333333333,50,54,"50 to 74%","25 to 49%"
"Guilford College",2018,1567,37120,"1,000 - 4,999","Four or more years","City",2159.44444444444,24.2222222222222,3.55555555555556,5.88888888888889,59.4444444444444,55,67.3333333333333,"50 to 74%","50 to 74%"
"Meredith College",2018,1603,37176,"1,000 - 4,999","Four or more years","City",1673.44444444444,10.2222222222222,2.77777777777778,4.55555555555556,72.2222222222222,100,62.6666666666667,"75 to 100%","50 to 74%"
"Winston-Salem State University",2018,4741,5904,"5,000 - 9,999","Four or more years","City",5043.66666666667,74.7777777777778,1,2.44444444444444,15,71,60.5555555555556,"50 to 74%","50 to 74%"
"Herzing University-Akron",2018,453,14000,"Under 1,000","Four or more years","Suburb",485.888888888889,31.4444444444444,0.333333333333333,1.55555555555556,49.1111111111111,82,91.5555555555556,"75 to 100%","75 to 100%"
"Art Academy of Cincinnati",2018,192,33450,"Under 1,000","Four or more years","City",201.222222222222,8.44444444444444,1.66666666666667,4,81.3333333333333,64,30.7777777777778,"50 to 74%","25 to 49%"
"Cleveland Institute of Music",2018,231,41987,"Under 1,000","Four or more years","City",239.222222222222,1,6,0.777777777777778,30.2222222222222,50,43,"50 to 74%","25 to 49%"
"University of Dayton",2018,8617,42900,"10,000 - 19,999","Four or more years","City",8248.22222222222,3.22222222222222,1,3.55555555555556,80.5555555555556,48,64.5555555555556,"25 to 49%","50 to 74%"
"Mount Carmel College of Nursing",2018,873,13907,"1,000 - 4,999","Four or more years","City",876.888888888889,7.11111111111111,1.44444444444444,1.33333333333333,86.1111111111111,90,76.2222222222222,"75 to 100%","75 to 100%"
"University of Toledo",2018,16065,10293,"20,000 and above","Four or more years","City",16622.2222222222,13.3333333333333,2,4.66666666666667,68.3333333333333,49,93.5,"25 to 49%","75 to 100%"
"Ursuline College",2018,631,32390,"1,000 - 4,999","Four or more years","Suburb",768.666666666667,25.6666666666667,1.22222222222222,2.33333333333333,62.7777777777778,92,76.4444444444444,"75 to 100%","75 to 100%"
"Wright State University-Lake Campus",2018,1063,6194,"1,000 - 4,999","Four or more years","Rural",1181.66666666667,2.33333333333333,0.888888888888889,2.22222222222222,91.4444444444444,56,99,"50 to 74%","75 to 100%"
"Oklahoma Christian University",2018,1905,22760,"1,000 - 4,999","Four or more years","City",1931.22222222222,6.66666666666667,4.22222222222222,5.44444444444444,76.3333333333333,49,58.4444444444444,"25 to 49%","50 to 74%"
"Reed College",2018,1483,56340,"1,000 - 4,999","Four or more years","City",1430.55555555556,2.11111111111111,6.11111111111111,9.44444444444444,58.4444444444444,54,38.2222222222222,"50 to 74%","25 to 49%"
"Bryn Mawr College",2018,1360,52360,"1,000 - 4,999","Four or more years","Suburb",1330.22222222222,5.44444444444444,12.2222222222222,9.11111111111111,36.8888888888889,100,40.6666666666667,"75 to 100%","25 to 49%"
"Dickinson College",2018,2399,54661,"1,000 - 4,999","Four or more years","City",2397.55555555556,4.11111111111111,2.88888888888889,6.55555555555556,72,57,45.5555555555556,"50 to 74%","25 to 49%"
"Edinboro University of Pennsylvania",2018,3572,10574,"1,000 - 4,999","Four or more years","Town",5427,7.44444444444444,1,2.88888888888889,83.3333333333333,58,82.5555555555556,"50 to 74%","75 to 100%"
"Lancaster Bible College",2018,1688,25270,"1,000 - 4,999","Four or more years","Suburb",1360.11111111111,18.3333333333333,1.22222222222222,2.77777777777778,60.8888888888889,50,65.6666666666667,"50 to 74%","50 to 74%"
"Lock Haven University",2018,3060,10878,"1,000 - 4,999","Four or more years","Town",4342.88888888889,8.22222222222222,1,2.22222222222222,85,57,83.2222222222222,"50 to 74%","75 to 100%"
